money_made_inv,loan_amnt,out_prncp_inv,term,int_rate
-6.336496641126752,9600,0.0,36,5.32
-906.9899999999998,6000,1641.08,36,8.24
-4.141685988908726,16000,0.0,36,8.39
-6178.610000000001,15000,7486.81,36,7.21
-4356.73,10000,5297.44,36,7.97
-2.2493539755272,12000,0.0,36,9.8
5.171226441796985,5000,0.0,36,9.75
-3.8417792082707134,8000,0.0,36,13.49
-4373.7,5000,4504.79,36,8.46
-1.9201672604478728,15000,0.0,36,12.29
-3540.83,7000,4070.66,36,7.07
1.390197354425875,6000,0.0,36,12.39
-2844.68,5000,3396.93,36,11.99
-2483.7800000000007,15000,5425.94,60,8.18
5.414741073769028,10000,0.0,36,19.52
-1216.12,8000,2793.73,36,13.49
-7.930092776508521,9000,0.0,36,19.99
-2746.77,4000,3165.88,36,15.49
0.1707467686534613,5000,0.0,36,9.75
-4.8696975009948735,32300,0.0,36,14.85
-13068.82,14500,13477.07,36,11.8
-5.944852735757912,10000,0.0,36,10.49
-6660.370000000001,15000,7896.09,36,7.07
3.555643790398118,12000,0.0,36,11.49
0.2220989093782581,4200,0.0,36,10.99
-5.952659238082678,25000,0.0,36,12.39
0.5173472858706224,21000,0.0,36,23.99
-1.2684901443217609,2500,0.0,36,23.4
-19137.97,35000,21090.63,36,5.32
-15758.32,40000,27061.9,60,15.99
1224.3999999999996,8000,260.95,36,11.47
3.179633487372724,8000,0.0,36,5.32
-3.781240073255272,28000,0.0,36,14.46
-3.756566944297851,12000,0.0,36,7.97
-29613.63,40000,32168.11,36,10.56
-4641.92,9500,5201.87,36,5.32
12.423092144432797,10000,0.0,36,9.17
-10480.81,12000,10813.65,36,8.46
-1114.66,6000,1812.59,36,7.99
-4476.969999999999,16000,6223.06,36,7.99
7.662777838967136,30000,0.0,36,9.99
2.059901666309644,20000,0.0,60,15.05
-8.15806905499975,20000,0.0,36,10.78
-9169.02,15000,10508.39,36,10.41
-4.399873527737728,11200,0.0,36,14.46
-3.800063387827008,10000,0.0,36,15.61
12.172732176186544,20000,0.0,36,15.99
6.24949778989783,16000,0.0,60,9.16
6.217022367767092,25800,0.0,36,10.91
10.962267030530338,17000,0.0,36,9.99
-7931.639999999999,32000,10323.58,36,5.32
-2.0662656681944767,12000,0.0,36,6.97
-0.1602131809277856,15325,0.0,36,13.98
505.46,5000,667.66,36,14.49
-4.027869714377431,15000,0.0,60,14.99
-9928.87,20000,17063.82,60,28.72
9.525147000413323,20000,0.0,36,6.49
2.860368878572981,30000,0.0,36,7.49
0.2973047561735263,23875,0.0,60,17.99
6.09257997182519,27300,0.0,36,19.99
-2.6364819628439444,20000,0.0,60,14.99
-8660.5,18000,10686.24,36,10.42
6.781122286189784,3475,0.0,36,24.11
-16457.28,20000,17978.39,60,12.13
1.3830501568553344,10000,0.0,36,23.99
-0.7780846547248184,23975,0.0,60,9.93
-4125.38,8500,5031.14,36,9.93
-17259.34,20000,18193.73,36,15.02
-1896.72,5000,2564.09,36,10.91
9.848865757848513,6000,0.0,36,11.49
1.573090076449792,24000,0.0,60,24.49
-18355.26,22000,20728.51,60,22.35
-1.449685146328484,15000,0.0,36,13.99
-90.88000000000012,7500,1437.52,36,11.49
0.4586367427146262,9000,0.0,36,6.99
-0.1598255227446818,10000,0.0,36,7.97
-0.1771846483021199,25000,0.0,60,22.39
-2.279291900127104,18000,0.0,60,18.06
-5363.209999999999,35000,12223.28,36,13.49
-1419.3999999999996,8400,3225.82,36,14.99
-11224.08,20000,12157.18,60,9.58
-7953.119999999999,25000,11374.85,36,10.49
8.775198402563621,12000,0.0,36,13.99
-3088.65,10000,4586.38,36,11.49
5.079737289653958,35000,0.0,36,7.99
-0.8969623716165054,40000,0.0,36,14.49
-2188.74,10400,3866.13,36,11.39
2.6050452256112075,24000,0.0,36,5.93
2.3786459591448743,35000,0.0,60,19.99
-6750.96,12000,7669.63,36,7.97
5.831539236946499,7500,0.0,36,6.68
-2.602080863291759,13000,0.0,36,9.17
-4083.04,6000,4499.09,36,9.43
-2929.7800000000007,14575,8347.75,60,17.27
-4309.97,10000,5743.95,36,12.62
-18133.42,25000,20579.98,60,9.93
-1.832308793485412,12000,0.0,36,11.53
-23053.26,35000,26701.14,36,14.07
-19869.33,30000,24163.09,60,12.62
6.4945058743979045,4000,0.0,36,6.89
-430.6000000000004,5000,1637.54,36,15.99
-4.138844167014748,21000,0.0,36,9.99
-4.199819049487354,9600,0.0,36,6.49
2.992890485495596,2000,0.0,36,7.21
-2.6817681816503987,7625,0.0,36,13.98
-1.8471299610540708,15000,0.0,60,18.99
-0.2309276235724948,14000,0.0,60,9.49
